Product_ID,Links,Title,Short_title,Price,Introducing,Date_Time,Description
1,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-truffle-cake-A.jpg?itok=clO-rdSC,Delectable Truffle,Choco Truffle Cake,Rs. 499,The devilishly delicious taste of this cake with Cocoa fix leaves you 'High' on chocolate in every good sense.,2018-06-15 08:30:24.175134,"The heavenly taste of this Choco Truffle Cake will even leave the hardest-to-please chocolate addicts tranquil in every sense. Prepared with three layers of relishing chocolate cream filled in between the soft stacks of chocolate cake, and adorned with beautiful chocolate icing and rich glaze chocolate coating, this one is just irresistible."
2,https://www.bakingo.com/sites/default/files/styles/might_like/public/black-forest-cake-A.jpg?itok=HmpzFcpL,The Original B.F.,Black Forest Cake,Rs. 425,"We kept this Classic simply unblemished, no twist, no turn, just as original as it can be - Soft, Mushy and Creamy.",2018-06-15 08:30:24.175158,"We kept this Classic cake untouched and unblemished because we feel it's perfect as it is. Baked with the richness of cocoa and lusciousness of fresh vanilla cream, topped with soft chocolate shavings and fresh cherries, this delicious cake will make you surrender to the zest forces of Sweet Indulgence. Savour the original taste of the all time classic- The Black Forest."
3,https://www.bakingo.com/sites/default/files/styles/might_like/public/butterscotch-cake-A.jpg?itok=05o4eIBg,Butterscotch Delight,Butterscotch Cake,Rs. 499,Take a bite of this extra- delectable delicacy and feel yourself lost into the world of scrumptious caramel.,2018-06-15 08:30:24.175167,"Always and Forever Delight! This three layered moist and smooth cake filled with butterscotch chips and Vanilla cream is something not to be missed! Topped with Butterscotch glaze and brown chocolate flakes, adorned with scrumptious caramel dressing on the sides, it's time to feel the crunch!"
4,https://www.bakingo.com/sites/default/files/styles/might_like/public/mango-cake-2-cake0694mang-A.jpg?itok=8VPdOEkP,Mango Moments,Mango Pistachio Cake,Rs. 649,Create delicious mango-moments by gorging on this mouthwatering cake flavored with seasonal mangoes.,2018-06-15 08:30:24.175173,"Flavored with freshly-sliced mangoes, this cake is enriched with delicious vanilla cake. This cake is made of three layers of mushy cake enriched with mango fillings. On the top, this cake is laden with luscious fresh mango slices and a cherry along with crushed pistachios sprinkled at the edges."
5,https://www.bakingo.com/sites/default/files/styles/might_like/public/red-velvet-cake-A.jpg?itok=u6eyLxYy,Red Infatuation,Red Velvet Cake,Rs. 599,"Finished to perfection, we bet, this delicious creamy delight is going to be a Torrid Velvety Affair!",2018-06-15 08:30:24.175180,"This one is a southern classic! With a mild white chocolate flavour and extremely mushy layers, you just cannot resist its lavish redness, its delish white chocolate shavings and more so, its fresh creamy frosting. Made of three layers of moist base flavoured with melt-in-the-mouth red velvet joy and garnished magnificently with richly whipped cream, this sumptuous treat is all you need to bet on!"
6,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-vanilla-cake-A.jpg?itok=Pw5oY9BB,Ebony And Ivory,Choco Vanilla Cake,Rs. 499,You are on the way to enter into the world of sweet Indulgence with this delightful Chocolate-Vanilla treat,2018-06-15 08:30:24.175187,"A toothsome treat for the sugar lovers who are just passionate about chocolate and relish the mushiness of cake. Made of two layers of impossibly moist chocolate filled with mushy rich cream, this cake carries the enticing aroma of Vanilla and sumptuousness of chocolate. On top of it, the cake is garnished with handcrafted white and brown chocolate. Need I say more?"
7,https://www.bakingo.com/sites/default/files/styles/might_like/public/snicker-chocolate-cake-A.jpg?itok=Q1a1JwCI,Fuse Fiesta,Snicker Chocolate Cake,Rs. 600,The world is a better place because it has chocolates. Delve into the nutty taste of this sinfully chocolaty cake!,2018-06-15 08:30:24.175194,"Award yourself with this rich chocolate cake wonderfully crammed with Cadbury Fuse and white chocolate chunks and draped lusciously with molten chocolate. This perfect work of art hides in every bite, the scrumptious flavours of heavily whipped chocolate cream and nutty bits of chocolate that is a little nutty and a lot of tasty!"
8,https://www.bakingo.com/sites/default/files/styles/might_like/public/New-Cake-10-A.jpg?itok=qNfifcQI,Choco Orange Obssession,Choco Orange Cake,Rs. 599,Here is a toothsome treat infused with the tanginess of freshly-picked oranges and mel-in-mouth chocolates.,2018-06-15 08:30:24.175201,"To tickle your taste buds with a new flavor, we brought you this delicious cake flavored with luscious oranges and delicious chocolates. Made of three mushy layers of choco-orange cake, this delicacy is garnished with an orange-flavored glaze. On the top, this cake is adorned with fresh orange slices and chocolate flakes along with chocolate syrup dripping by the sides."
9,https://www.bakingo.com/sites/default/files/styles/might_like/public/double-heart-choco-truffle-cake-A.jpg?itok=XmHIldmh,Amore Mio,Heart Shaped Double Heart Choco Truffle Cake,Rs. 699,"Are You a Chocolate Addict? Yes! This striking, tender, and luxurious layer cake is for you.",2018-06-15 08:30:24.175207,"The irresistible taste of this rich delicacy will leave you feeling overwhelmed. With ganache glaze and a fabulous chocolaty-sweet filling, the indulgence is so worth it. Made with three-layers of soft chocolate sponge and coated all over with delicious swirls of whipped cream, and adorned with hand-crafted fondant red heart, this one is a perfect way to express, and impress your beloved. This cake is an ideal choice pick for all special occasions such as Birthday, Anniversary or Valentine's Day."
10,https://www.bakingo.com/sites/default/files/styles/might_like/public/german-black-forest-cake-A.jpg?itok=vURZMETY,German Gateau,German Black Forest Cake,Rs. 475,Say 'hello' to the Perfect mood lifters! Seductively creamy with an overloaded of chocolate - All-Time favourite!,2018-06-15 08:30:24.175214,"Relish the rich taste of the Original German Chocolate Fantasy! Made from the finest cocoa, delectable chocolate shavings and topped with handpicked cherries, this silky smooth three-layered chocolate delight will take you to a ride into the World of Chocolate. Once you get your hands on them, there's no looking back... They're that delicious!"
11,https://www.bakingo.com/sites/default/files/styles/might_like/public/red-velvet-choco-coffee-cake-for-A.jpg?itok=EVTLHV6M,Magical Moments,Red Velvet Choco Coffee Cake,Rs. 550,"Once you take a slice, you will join the league of our Velvety Coffee Cake followers.",2018-06-15 08:30:24.175221,"This deliciously creamy temptation has a perfect blend of everything to beat both Chocolate and Coffee Craving. The red velvet shavings and creamy coffee flavor leaves you smacking your lips. Moist, mildly coffee-flavored and highly delicious, you just cannot resist its Red-ness, Chocolate-ness and creamy Frosting-ness."
12,https://www.bakingo.com/sites/default/files/styles/might_like/public/red-velvet-fruit-cake-A.jpg?itok=V523aSZw,Luxurious Fantasy,Red Velvet Fruit Cake,"Rs. 1,099","""This Red Velvet Fruit cake with tender crumbs that slice like velvet will take you from amazing to irresistible!
""",2018-06-15 08:30:24.175227,"An exceptionally creamy Open-layered Red Velvet cake with a topping that tastes like a MASH UP between the tropical fruits is truly a luxurious treat. Experience the richness and smoothness in this delicacy which is laden with kiwis, cherries, apples, dragon fruits and black grapes. Who said healthy and delicious are poles apart?"
